ID,data,No
3H,0.0125191386027944,5
3V,-0.165369754452191,5
4H,-0.0914217476516634,5
4V,-0.165251003479125,5
3H,0.0357322440718563,5
3V,0.0615646062250996,5
4H,0.0840624487279844,5
4V,-0.0734972360437376,5
3H,0.0332621159281437,5
3V,0.12074428999004,5
4H,0.0650417479452055,5
4V,0.0574468319781312,5
3H,0.18184794762475,5
3V,-0.184386159501992,5
4H,0.00991638571428572,5
4V,-0.0178425150497018,5
3H,0.223724243512974,5
3V,-0.0280304001394422,5
4H,0.0215069384540117,5
4V,-0.174609790586481,5
3H,0.110696058922156,5
3V,-0.0808915145916335,5
4H,0.0853715415851272,5
4V,-0.0878360396520875,5
3H,0.130298507944112,5
3V,-0.0205343068625498,5
4H,0.0902791454011742,5
4V,0.245715748479125,5
3H,0.185013371097804,5
3V,0.133660635328685,5
4H,0.0670382639921722,5
4V,0.0605866716500994,5
3H,0.192588430738523,5
3V,0.00338642480079681,5
4H,0.0150511380626223,5
4V,0.210078264542744,5
3H,0.0357810367265469,5
3V,0.15281664373506,5
4H,0.0746776277886497,5
4V,0.0508149075646123,5
3H,-0.0440376472654691,5
3V,0.0555495224701195,5
4H,-0.0238988576320939,5
4V,0.194269748747515,5
3H,-0.126918070339321,5
3V,0.0701653869322709,5
4H,0.0370606353228963,5
4V,0.0174973825347913,5
3H,-0.113524486626746,5
3V,0.0726964564840638,5
4H,-0.100125122994129,5
4V,0.115852708429423,5
3H,-0.0674459233532934,5
3V,-0.177642710408367,5
4H,-0.0512941661448141,5
4V,0.165980825745527,5
3H,-0.189006723433134,5
3V,0.0378866630079681,5
4H,-0.00392771956947163,5
4V,-0.000649311739562626,5
3H,-0.208517686227545,5
3V,0.0297471803486056,5
4H,-0.149816853228963,5
4V,0.027755001888668,5
3H,-0.110542035608782,5
3V,-0.138741931613546,5
4H,-0.0791676820939335,5
4V,-0.294081601083499,5
3H,-0.19859448007984,5
3V,0.086043751314741,5
4H,-0.0270311163405088,5
4V,-0.166745008429423,5
3H,-0.138292857964072,5
3V,-0.135840609681275,5
4H,-0.0111486518590998,5
4V,-0.1269413155666,5
3H,-0.119275920798403,5
3V,0.144464721185259,5
4H,0.00164339706457926,5
4V,-0.0507531362922465,5
3H,0.0259432177245509,5
3V,-0.103950347270916,5
4H,-0.0333793200587084,5
4V,-0.195738421570577,5
3H,0.0467471858682635,5
3V,-0.0449345457071713,5
4H,0.0919229834637965,5
4V,-0.0964660438568588,5
3H,0.0454236851097804,5
3V,0.123427102320717,5
4H,0.159236657729941,5
4V,-0.107330982296223,5
3H,0.109220081117764,5
3V,-0.0726306377091633,5
4H,0.0212797899217221,5
4V,-0.0164881934890656,5
3H,0.192149296846307,5
3V,0.0283450770717131,5
4H,0.127477706360078,5
4V,0.100135290497018,5
3H,0.239185415968064,5
3V,0.013765630876494,5
4H,0.0912355602739726,5
4V,0.102011906471173,5
3H,0.104840940359281,5
3V,-0.216719510826693,5
4H,0.175896209295499,5
4V,0.152188609314115,5
3H,0.19521713500998,5
3V,0.102340925766932,5
4H,-0.0416343759295499,5
4V,0.0719253189761431,5
3H,0.287282775329341,5
3V,0.17920167812749,5
4H,-0.000783505675146772,5
4V,0.177781035576541,5
3H,0.187440805668663,5
3V,0.029753250059761,5
4H,0.0016135090998043,5
4V,0.00272738237574553,5
3H,0.0557250343313373,5
3V,0.224214656055777,5
4H,0.0565714987279844,5
4V,0.177216228827038,5
3H,0.0184535452295409,5
3V,-0.103215912221116,5
4H,-0.0226854062622309,5
4V,-0.0106943694135189,5
3H,-0.119227128143713,5
3V,0.133939842041833,5
4H,-0.0820488818982388,5
4V,0.304151990884692,5
3H,-0.08817670251497,5
3V,-0.142426246284861,5
4H,-0.0575407507827789,5
4V,0.0846365074353877,5
3H,-0.20022293493014,5
3V,-0.0726488468426295,5
4H,-0.0200433101761252,5
4V,0.108382683677932,5
3H,-0.193483449500998,5
3V,0.12587926562749,5
4H,-0.145279860176125,5
4V,-0.0785440576441352,5
3H,-0.125875127345309,5
3V,-0.293671308854582,5
4H,-0.214231394911937,5
4V,-0.201489733310139,5
3H,-0.126204477764471,5
3V,0.115730708575697,5
4H,-0.102259123679061,5
4V,-0.100790155745527,5
3H,-0.157517163912176,5
3V,0.0475435734561753,5
4H,0.0466188064579256,5
4V,-0.113981126282306,5
3H,-0.168489412135729,5
3V,-0.0654380299900398,5
4H,-0.1178187981409,5
4V,-0.248963866222664,5
3H,-0.0102426348103792,5
3V,-0.0796290146713148,5
4H,-0.0430151999021526,5
4V,-0.0914738809741551,5
3H,-0.0133104729740519,5
3V,-0.114214228834661,5
4H,0.0148478999021526,5
4V,-0.248471937763419,5
3H,0.0480340921357285,5
3V,-0.206546674930279,5
4H,0.0805296912915851,5
4V,-0.0394570013021869,5
3H,0.0356163615169661,5
3V,0.153010874492032,5
4H,-0.00890705450097848,5
4V,-0.00660711196819086,5
3H,0.239411081996008,5
3V,-0.196816927948207,5
4H,0.0943678189823875,5
4V,-0.101245645059642,5
3H,0.218015502914172,5
3V,-0.0477023339940239,5
4H,0.0900280864970646,5
4V,0.236514864333996,5
3H,0.10965921500998,5
3V,-0.0658689794820717,5
4H,0.204738095303327,5
4V,-0.114114736481113,5
3H,0.0881172579640718,5
3V,0.0324299926792829,5
4H,0.100799709001957,5
4V,-0.000497481968190857,5
3H,0.210769793692615,5
3V,0.00717999427290837,5
4H,0.0381724676125245,5
4V,-0.0481781033697813,5
3H,0.183317826347305,5
3V,0.108113221075697,5
4H,0.136067507436399,5
4V,0.211499391202783,5
3H,0.0915022483832335,5
3V,0.0778557109661355,5
4H,0.0515383654598826,5
4V,0.146838128170974,5
3H,0.0816888257085828,5
3V,-0.0317025753884462,5
4H,-0.00991726771037182,5
4V,0.196729391043738,5
3H,-0.147423183473054,5
3V,0.110267968535857,5
4H,-0.0854321995107632,5
4V,0.149212745795229,5
3H,-0.00933997069860279,5
3V,0.00820577545816733,5
4H,-0.00972598473581214,5
4V,0.0511792990159046,5
3H,-0.0743927775648703,5
3V,-0.0866759493227092,5
4H,0.0172927354207436,5
4V,0.148405011411531,5
3H,-0.275485604790419,5
3V,0.04064231187251,5
4H,-0.11204444334638,5
4V,-0.0907633176441352,5
3H,-0.155803321916168,5
3V,-0.00599127893426295,5
4H,-0.084930081702544,5
4V,0.0239045988866799,5
3H,-0.097770558243513,5
3V,-0.184883875816733,5
4H,-0.0913021957925636,5
4V,-0.0729506488667992,5
3H,-0.148569810858283,5
3V,0.0334800527091633,5
4H,0.00722049129158513,5
4V,-0.144286348648111,5
3H,-0.19032412510978,5
3V,-0.319880321623506,5
4H,-0.0716179821917808,5
4V,-0.0740316768389662,5
3H,-0.183505351616766,5
3V,-0.0232838860159363,5
4H,-0.0219561399217221,5
4V,-0.10394821499006,5
3H,-0.0184885934530938,5
3V,-0.0614016720717131,5
4H,0.102162600195695,5
